Features Used,Equation,Train R-squared,Train MRE,Train RMSRE,Test R-squared,Test MRE,Test RMSRE,Equation Components,Model Score
Feature(s): 1 2 5 7,#NAME?,0.604004059,0.755034306,0.765824843,0.773792925,0.588384893,0.505488554,27,41.88984916
Feature(s): 1 2 3 4,#NAME?,0.72569662,0.726931548,0.637381806,0.649703681,0.650501616,0.629036752,27,41.77001509
Feature(s): 1 2 4,#NAME?,0.525196671,0.792691918,0.838573165,0.727247585,0.661671883,0.555063329,21,41.62221283
Feature(s): 2 3 4 6,36.3402072408284*x_1 - 11.366353103873*x_2 - 5.5813167062198*x_3 - 0.681454455130176*x_4 + 2.738153*(-3.1758296*x_1 - 3.2165048*x_2 + 1.1426668*x_3 + 0.16783963*x_4 + 0.42862868)*(-3.051688*x_1 - 3.1790254*x_2 + 1.15205*x_3 + 0.10448603*x_4 + 0.41465342) + 2.39054890720146,0.735406986,0.714693489,0.625998468,0.63545453,0.636605777,0.641703025,27,41.54307579
Feature(s): 2 7,41.4940524889466*x_1**2 + 16.9775575842619*x_1*x_2 + 7.35318741920947*x_1 + 1.72840842569829*x_2**2 - 4.26873386308097*x_2 + 2.8041725*sin(5.4818068*x_1 + 1.2144835*x_2 - 1.972709) + 2.9020371*cos(5.0177855*x_1 - 2.8631802*x_2 + 0.14473966) - 0.174494725472219,0.606817678,0.714817153,0.763099335,0.762202785,0.598128529,0.518276617,27,41.45102314
Feature(s): 2 3 4 5,29.9742679506218*x_1 - 5.65264546378805*x_2 - 18.5159225825943*x_3 - 2.04246229587774*x_4 + 3.105162*(-3.2090847*x_1 - 3.5333867*x_2 + 1.3472958*x_3 + 0.26883864*x_4 + 0.31881535)*(-3.051675*x_1 - 3.545415*x_2 + 1.2397295*x_3 + 0.34251678*x_4 + 0.39430755) + 3.17539262189739,0.759651211,0.71267265,0.596629952,0.608955159,0.652687617,0.664617104,27,41.43031852
Feature(s): 1 2 6,3.12722474573256*x_1 + 11.597862501027*x_2 + 1.0928245508334*x_3 + 1.7189884*(0.29907233*x_1 - 3.6737807*x_2 + 0.11818875*x_3 - 0.80752546)*(0.36464694*x_1 - 3.7328627*x_2 + 0.22052374*x_3 - 0.78223234) - 5.2174855509316,0.530630277,0.756350549,0.833761081,0.717436499,0.644007144,0.564958133,21,41.4033388
Feature(s): 2 8,-17.1486589958542*x_1**2 + 0.00711945578072467*x_1*x_2 + 32.3233622971574*x_1 - 7.38821149469991e-7*x_2**2 - 0.00495575508562534*x_2 + 9.69225718736811,0.455765089,0.97837848,0.897795205,0.63228991,0.739340553,0.644482319,13,41.40274992
Feature(s): 1 2 3 6,#NAME?,0.740521337,0.720379183,0.619918945,0.62401876,0.637443426,0.651690398,27,41.22700483
Feature(s): 2 3 7,8.14195524028982*x_1 - 1.76032415818885*x_2 - 8.72213334111954*x_3 + 2.1737764*(1.9956645*x_1 + 3.064566*x_2 + 0.3700225*x_3 - 0.63548416)*(2.0613635*x_1 + 3.0695288*x_2 + 0.30681726*x_3 - 0.48853183) + 1.86619300068057,0.70884222,0.735387009,0.656671674,0.533534621,0.66503919,0.7258852,21,41.11884203
