Features Used,Equation,Train R-squared,Train MRE,Train RMSRE,Test R-squared,Test MRE,Test RMSRE,Equation Components,Model Score
Feature(s): 1 3 4 5,(-0.98143184540796005*x_1 + 0.99913795246135929*x_3 - 0.092452016854364516*x_4 - 1.4463973270550408*(0.9216881272515964*x_2 + 0.5705242505503267*x_3 + 0.8566521557953715*x_4 - 0.08730392422896505)*(0.22213554488086548*x_1 - 0.23845446844716514*x_2 - 0.9878000051903151*x_3 + 0.1877705058397233*x_4 + 0.07874175089900082) + 0.8418677532882728*sin(-0.8776437924965492*x_1 + 0.23283459931744405*x_2 + 1.7366071916245647*x_3 + 0.04891710006255145*x_4 + 0.27238612389685335) + 0.1339893407763687*cos(1.0325741551602956*x_1 + 0.6083603796578332*x_2 + 0.18689385026858835*x_3 - 0.7293942263605526*x_4 + 0.36242079393431087) - 0.21586480029370507)/(0.1434514090643726*x_1 - 0.14603942984007806*x_3 + 0.013513288926434655*x_4 - 0.679065575000689*sin(-0.8776437924965492*x_1 + 0.23283459931744405*x_2 + 1.7366071916245647*x_3 + 0.04891710006255145*x_4 + 0.27238612389685335) - 0.48224177658711415*cos(1.0325741551602956*x_1 + 0.6083603796578332*x_2 + 0.18689385026858835*x_3 - 0.7293942263605526*x_4 + 0.36242079393431087) + 1.0713484691221138),0.738136178,0.615352717,0.622761613,0.53311918,0.624173559,0.72620837,74,-10.43723213
Feature(s): 3 5 6,(-4.0922981414579725*x_1 + 1.70886624339944*x_2 - 0.67775627830760527*x_3 + 0.358358282025441*(-0.6005330876619602*x_1 + 0.35200497200512754*x_2 + 0.5475650454124749*x_3 + 0.367912882043127)*(0.976417354640183*x_1 + 0.11605464202273306*x_2 - 0.47699354526687704*x_3 + 0.3096259933679278) - 1.0388186653104066*sin(1.3377468064010007*x_1 + 0.0663925411301288*x_2 + 0.05813502747489045*x_3 + 0.2917773842420631) + 1.2704112108739352*cos(0.9247965560950074*x_1 + 1.0875752081710708*x_2 - 0.9435208178739208*x_3 - 0.024443483057806692) - 0.36466733857112634)/(0.22773727324628197*x_1 - 0.09509877461561351*x_2 + 0.037717282908505652*x_3 + 0.7043377489088349*(-0.6005330876619602*x_1 + 0.35200497200512754*x_2 + 0.5475650454124749*x_3 + 0.367912882043127)*(0.976417354640183*x_1 + 0.11605464202273306*x_2 - 0.47699354526687704*x_3 + 0.3096259933679278) + 0.40245171689544174*sin(1.3377468064010007*x_1 + 0.0663925411301288*x_2 + 0.05813502747489045*x_3 + 0.2917773842420631) + 0.23480521408193775*cos(0.9247965560950074*x_1 + 1.0875752081710708*x_2 - 0.9435208178739208*x_3 - 0.024443483057806692) - 0.8685883251192081),0.779402759,0.688620585,0.571589341,0.589358849,0.659915128,0.68106642,79,-10.5619196
Feature(s): 6 9,1.00799551504757e-5*x_1**2 + 0.000115462238005692*x_1*x_2 - 0.21512182994656*x_1 - 1.40868928865275e-7*x_2**2 + 0.000269880993421146*x_2 + 4.58006409764735,0.02349262,1.483685231,1.202601796,0.022097612,1.16053519,1.051007916,13,-10.72048839
Feature(s): 1 3 6 7 8 9,(0.09392408470341402*x_5 + 0.3126856465635561*x_6 - 1.9403462024574744)/(0.02938347766833673*x_5 + 0.09782146658146476*x_6 + 1.627450886272944),-0.014526583,1.29524921,1.225789223,-0.021942542,1.039320834,1.074413541,9,-10.82345623
Feature(s): 1 2 4 6 7 8 9,(0.00079360533947458782*x_6*x_7 - 0.36966045415520668*x_6 - 0.028037511219048177*x_7 + 4.3310206435206414)/(0.00017452146533997437*x_6*x_7 + 1.2159138346105701*x_6 - 0.36669740867033302*x_7 + 7.3951738504252543),0.027560103,1.47413912,1.200094561,0.055778707,1.167655306,1.032749822,15,-10.83305949
Feature(s): 2 4 6 9,2.32601311601994e-5*x_1 + 0.000345536132431896*x_2 - 0.000266311108085575*x_3 + 1.511265*(-1.6252844*x_1 - 1.3841946*x_2 + 0.009781807*x_3 + 0.00024921296*x_4 + 1.356507)*(1.752713*x_1 + 1.4287506*x_2 + 0.0112401685*x_3 - 0.00024921296*x_4 - 1.3562641) + 0.020630889*sin(3.3654334e-5*x_1 - 0.004170298*x_2 + 0.043198496*x_3 + 0.15896845*x_4 + 0.059204392) - 0.011261219*cos(0.00034813114*x_1 + 0.000306274*x_2 + 0.012138677*x_3 - 0.23724371*x_4 - 0.03193177) + 8.89087953584456,0.331559975,0.808771457,0.994982189,0.390073772,0.691275741,0.830035922,47,-10.91831265
Feature(s): 1 5 6 8 9,(0.00028684271715294296*x_4**2 - 0.0020280352380097929*x_4 - 2.8935554772195914)/(7.6412638162736901e-5*x_4**2 - 0.00054025259682885544*x_4 + 3.3272159601741659),8.75E-05,1.57831368,1.216928573,0.000926007,1.244858318,1.062324165,11,-10.94932612
Feature(s): 1 2 4,(0.57699840032362034*x_1 - 3.9512863368235079*x_2 - 0.69307079189427522*x_3 + 0.7252652047388707*(0.037780391951690494*x_1 - 0.6811363809733028*x_2 - 0.8936375772921252*x_3 + 0.347546085623889)*(0.13495890625596593*x_1 + 0.5255997631683301*x_2 + 0.9009352443299453*x_3 - 0.4744028587602996) - 1.4234037340195902*sin(-0.3358582142372296*x_1 + 1.188467593338743*x_2 + 1.1089864048474822*x_3 + 0.022346967243278996) + 0.22888812733073804*cos(0.4554740181060086*x_1 - 1.7444580171453992*x_2 + 0.20231783324440594) - 0.024978349831374934)/(-0.036224486596923014*x_1 + 0.24806536529146216*x_2 + 0.043511617359097959*x_3 + 0.6321568617017524*(0.037780391951690494*x_1 - 0.6811363809733028*x_2 - 0.8936375772921252*x_3 + 0.347546085623889)*(0.13495890625596593*x_1 + 0.5255997631683301*x_2 + 0.9009352443299453*x_3 - 0.4744028587602996) + 0.3096410879198568*sin(-0.3358582142372296*x_1 + 1.188467593338743*x_2 + 1.1089864048474822*x_3 + 0.022346967243278996) + 0.6424703575503877*cos(0.4554740181060086*x_1 - 1.7444580171453992*x_2 + 0.20231783324440594) - 0.99050364988437098),0.618090237,0.672658512,0.752080734,0.661097725,0.636839232,0.618721883,75,-11.04060193
Feature(s): 2 6,(-3.7983556247239108*x_1 + 0.1330848792263042*x_2 - 0.17744326323111914*sin(0.33164874967356595*x_1 + 0.7583983871823611) + 0.8134483430888337*cos(1.8435177925999262*x_1 - 1.2400775021828778*x_2 + 0.3246939246500105) - 0.70960355552235436)/(0.44285041886245979*x_1 - 0.01553055996384519*x_2 + 0.7977153194616408*sin(0.33164874967356595*x_1 + 0.7583983871823611) + 0.5165351288746131*cos(1.8435177925999262*x_1 - 1.2400775021828778*x_2 + 0.3246939246500105) - 1.19695286923512),0.553182928,0.647943209,0.8134839,-0.115475545,0.67860744,1.122504939,33,-11.11463082
Feature(s): 1 2 4 7 8 9,(-3.8756902767329059e-5*x_5*x_6 + 11.012475247691898*x_5 + 0.00025879437141819015*x_6**2 + 13.54630952746362*x_6 + 0.69207052881959476)/(-3.1010325150867928e-6*x_5*x_6 + 3.4014924534063195*x_5 + 2.0706756814576139e-5*x_6**2 + 4.1945524514871513*x_6 + 2.4662806463914885),0.035987342,1.500114568,1.19488319,0.160156171,1.183823049,0.973996736,21,-11.19282432
Feature(s): 1 2 6,(-0.66096863306447909*x_1 - 3.607257834029814*x_2 - 1.045735123213835*(0.03995421152961375*x_1 - 0.623315727171329*x_3 + 0.2165219683546642)*(0.3690123191675361*x_1 - 0.9626332547346623*x_2 - 0.28951020499517016*x_3 + 0.09373783268821725) - 1.0887005760866801*sin(0.2125435526890839*x_1 + 0.9457047542634978*x_2 + 0.040178442327571263*x_3 + 0.09382118293351752) + 0.4327617142547098*cos(1.2526218367613358*x_1 + 1.5287725795452496*x_2 - 0.2427789711231469) - 0.2886352296353008)/(0.02205293662690908*x_1 + 0.1203546196162995*x_2 - 0.8395123165942243*(0.03995421152961375*x_1 - 0.623315727171329*x_3 + 0.2165219683546642)*(0.3690123191675361*x_1 - 0.9626332547346623*x_2 - 0.28951020499517016*x_3 + 0.09373783268821725) + 0.6405182995272003*sin(0.2125435526890839*x_1 + 0.9457047542634978*x_2 + 0.040178442327571263*x_3 + 0.09382118293351752) + 0.8758971834714964*cos(1.2526218367613358*x_1 + 1.5287725795452496*x_2 - 0.2427789711231469) - 1.1323286983654),0.625057343,0.707467272,0.745189127,0.489895728,0.715905217,0.759080289,67,-11.25234643
Feature(s): 6,0.027540079925101*x_1**2 - 0.292335624081247*x_1 + 0.28718752*sin(2.4070385*x_1 + 2.5383995) + 1.0371307*cos(1.2415779*x_1 + 0.79180074) + 2.04513270563638,0.048320948,1.389472428,1.187214899,0.024915803,1.095055097,1.049492388,15,-11.33816246
Feature(s): 4 6 7,(5.4217907702134289*x_1 + 0.39190003469272963*x_2 - 1.4250334534021301*x_3 - 0.44041085650220274*(-0.20848786305324477*x_1 + 1.231280101165141*x_2 + 1.148120804725437*x_3 + 0.2661338210182394)*(0.8858903259080141*x_1 - 0.32997671326213285*x_2 - 0.5189865793447337*x_3 + 0.4366956686887355) + 0.5041528574045898*sin(0.7028891585588602*x_1 + 0.25942217835468706*x_2 + 1.7636047593256372*x_3 + 0.43905407753899706) + 0.5885212763831554*cos(-0.28335937223552937*x_1 + 0.9529767987422716*x_2 + 0.38352390225120425*x_3 + 1.1938082176271763) - 0.59145875973087111)/(0.077222676006119646*x_1 + 0.0055818401499607081*x_2 - 0.020296780405936353*x_3 - 0.48375239762163647*(-0.20848786305324477*x_1 + 1.231280101165141*x_2 + 1.148120804725437*x_3 + 0.2661338210182394)*(0.8858903259080141*x_1 - 0.32997671326213285*x_2 - 0.5189865793447337*x_3 + 0.4366956686887355) - 0.723699833914372*sin(0.7028891585588602*x_1 + 0.25942217835468706*x_2 + 1.7636047593256372*x_3 + 0.43905407753899706) + 0.07954711019860199*cos(-0.28335937223552937*x_1 + 0.9529767987422716*x_2 + 0.38352390225120425*x_3 + 1.1938082176271763) + 0.95474678097575381),0.763888191,0.633571056,0.591347735,0.585870601,0.609650906,0.68395301,79,-11.51206044
Feature(s): 2 3 6 7 8,(0.0006537763837528585*x_5**2 + 0.071913570227143392*x_5 + 2.7114233365905583)/(0.00016493909599101589*x_5**2 + 0.33331005752139338*x_5 - 0.72585046770191001),0.004243029,1.559057115,1.21439721,-0.019824664,1.195581337,1.073299654,11,-11.77908176
Feature(s): 1 2 5 6 7 8,(0.00090006744297077289*x_6**2 + 0.08261754308722667*x_6 + 2.5153411154238313)/(0.00022321194146460172*x_6**2 + 0.42703816926634258*x_6 - 0.73664858387945558),0.003912633,1.59747193,1.214598664,-0.019497255,1.226011762,1.073127352,11,-11.77923112
Feature(s): 2 3 5 7 8,(0.00064168615236863894*x_5**2 + 0.064612032147675607*x_5 + 2.262563813609815)/(0.00016116306665873335*x_5**2 + 0.32328258053506378*x_5 - 0.79980945314500465),0.004218373,1.567957958,1.214412245,-0.019877435,1.202547205,1.073327423,11,-11.78295313
Feature(s): 1 2 3 6 7 8,(0.00056384742857806677*x_6**2 + 0.059676485650620035*x_6 + 2.3800572835934633)/(0.00014150480393039658*x_6**2 + 0.28657031658640997*x_6 - 0.86121467994954074),0.004221776,1.568748318,1.21441017,-0.020001916,1.203472966,1.073392923,11,-11.789007
Feature(s): 2 3 4 6 7 8,(0.0007891243437548358*x_6**2 + 0.096535655029569587*x_6 + 3.5865872334345988)/(0.00019663819648803316*x_6**2 + 0.40085582352614454*x_6 - 0.41126952703378412),0.004125173,1.583021462,1.214469075,-0.020087278,1.215552623,1.073437837,11,-11.79810526
Feature(s): 1 2 4 6 7 8,(0.00074842413102340907*x_6**2 + 0.098337947522703705*x_6 + 3.8782319300894114)/(0.00018935552029105578*x_6**2 + 0.39680107626392161*x_6 - 0.32767278947789778),0.004263313,1.550910954,1.214384841,-0.020238757,1.189744966,1.073517535,11,-11.79877221
Feature(s): 3 4 6 8,(0.00086978481517776648*x_4**2 + 0.081605773375436146*x_4 + 2.590181140016802)/(0.00021829065757106343*x_4**2 + 0.44575728910182061*x_4 - 0.80948711032331782),0.004238147,1.566919044,1.214400187,-0.020351298,1.201605998,1.073576742,11,-11.80565752
Feature(s): 2 3 4 5 7 8,(0.00053450605652739537*x_6**2 + 0.053427506901766706*x_6 + 2.1279101017990285)/(0.00013534316211724289*x_6**2 + 0.27997862861183204*x_6 - 0.91923614990051754),0.004256289,1.548785815,1.214389124,-0.020422421,1.18708463,1.073614158,11,-11.8083066
Feature(s): 1 3 8,(0.00050418161846072338*x_3**2 + 0.051540479500855886*x_3 + 2.0821859787663892)/(0.00012698465871387033*x_3**2 + 0.26298509296036417*x_3 - 0.90048857270168787),0.004266209,1.559073216,1.214383075,-0.020448317,1.195633626,1.073627781,11,-11.80910542
Feature(s): 2 3 7 8,(0.0014047372212328643*x_4**2 + 0.127128629222515*x_4 + 3.3674869819251713)/(0.00035487055424401235*x_4**2 + 0.72921160804389862*x_4 - 0.46430916585641346),0.004261648,1.553321972,1.214385857,-0.020453004,1.190307826,1.073630246,11,-11.80956779
Feature(s): 1 3 4 5 7 8,(0.00059315230067703332*x_6**2 + 0.063316694620175183*x_6 + 2.472008931302282)/(0.00014708444249580748*x_6**2 + 0.29584157980127631*x_6 - 0.83717306763921863),0.004005238,1.593153603,1.214542203,-0.020221516,1.223362313,1.073508464,11,-11.81081387
Feature(s): 1 2 5 6 8,(0.00056848219177998636*x_5**2 + 0.058958684252090226*x_5 + 2.3159113082204111)/(0.00014253909987306208*x_5**2 + 0.29468159198068526*x_5 - 0.87471857877992438),0.004241281,1.568037294,1.214398276,-0.020463969,1.20299822,1.073636014,11,-11.8111344
Feature(s): 3 4 5 6 8,(0.00051359298981796682*x_5**2 + 0.052408196133953111*x_5 + 2.1547586599374874)/(0.0001274538942568686*x_5**2 + 0.25637346468688684*x_5 - 0.93602302350393265),0.004029462,1.591313464,1.214527433,-0.020253896,1.221758681,1.073525499,11,-11.81122167
Feature(s): 1 2 3 4 5 7 8,(0.00045449465036117702*x_7**2 + 0.040094295727915633*x_7 + 1.7725680690647257)/(0.00011355471434567656*x_7**2 + 0.23084987921145945*x_7 - 1.1110443230784518),0.004188696,1.575841072,1.214430341,-0.020427514,1.208889185,1.073616837,11,-11.81194089
Feature(s): 4 7 8,(0.0010743675817215362*x_3**2 + 0.13887687888027529*x_3 + 4.9923347395794618)/(0.00026890935607826136*x_3**2 + 0.56907485414081982*x_3 + 0.065494774909575615),0.004241833,1.570464214,1.214397939,-0.020618837,1.205748181,1.07371748,11,-11.81885019
Feature(s): 1 3 4 5 6 8,(0.00045751096298659545*x_6**2 + 0.042773100698713497*x_6 + 1.8484649255635688)/(0.0001163995937164872*x_6**2 + 0.24179462524322338*x_6 - 1.0320362202962294),0.004216085,1.538844184,1.21441364,-0.02060985,1.178795724,1.073712753,11,-11.81968825
Feature(s): 1 2 3 4 6 7 8,(0.00074417836516915363*x_7**2 + 0.10535178158509581*x_7 + 4.3809259118742611)/(0.00018568387158184178*x_7**2 + 0.3967492049181845*x_7 - 0.2118656043008043),0.004211069,1.576294271,1.214416699,-0.020709786,1.211004841,1.073765319,11,-11.82493581
Feature(s): 1 2 4 5 7 8,(0.00048560360226917058*x_6**2 + 0.04708609322756736*x_6 + 1.9691449606357766)/(0.00012180282771383043*x_6**2 + 0.2552530663500789*x_6 - 0.98997850020278701),0.004262478,1.565383441,1.21438535,-0.020825575,1.200777957,1.073826222,11,-11.82815485
Feature(s): 2 5 8,(0.00047747020388722467*x_3**2 + 0.04345790824477902*x_3 + 1.8451589608782225)/(0.00011947573283183596*x_3**2 + 0.24844225378993239*x_3 - 1.0615296690798028),0.004236058,1.570529905,1.214401461,-0.020802799,1.204779891,1.073814242,11,-11.82833703
Feature(s): 2 4 8,(0.00065701755617078615*x_3**2 + 0.077814754387107811*x_3 + 2.9363030205756575)/(0.0001659613151068302*x_3**2 + 0.35489532122190847*x_3 - 0.63860835994499055),0.004283654,1.550903675,1.214372437,-0.020857151,1.189546687,1.073842829,11,-11.82867486
Feature(s): 3 6 7 8,(0.00056364385493411901*x_4**2 + 0.061124942205439851*x_4 + 2.4451667416872599)/(0.00013996065243571544*x_4**2 + 0.29003647533755779*x_4 - 0.84857396538648366),0.00409659,1.587131405,1.214486503,-0.020719421,1.218736425,1.073770387,11,-11.83114154
Feature(s): 2 5 6 7 8,(0.0005125710913636472*x_5**2 + 0.0538309869491766*x_5 + 2.1261826075536857)/(0.00013014930154117994*x_5**2 + 0.2765910835754847*x_5 - 0.86232152905397248),0.004244189,1.540820678,1.214396503,-0.020914868,1.180873144,1.073873185,11,-11.83353392
Feature(s): 2 6 8,(0.00077540837174508797*x_3**2 + 0.096963113562890985*x_3 + 3.6619314354044323)/(0.0001943384193761702*x_3**2 + 0.41754403163454751*x_3 - 0.37214081994392665),0.004273131,1.565891105,1.214378854,-0.020957589,1.202055802,1.073895654,11,-11.83422291
Feature(s): 1 2 7 8,(0.00052183682873253881*x_4**2 + 0.054696613049718745*x_4 + 2.2411468441042544)/(0.00013128040523960143*x_4**2 + 0.27942305862371994*x_4 - 0.90803441841445121),0.00428683,1.55839403,1.214370501,-0.020987663,1.195360125,1.07391147,11,-11.83504166
Feature(s): 4 8,(0.00020061969748333544*x_2**2 + 0.30471779439170692*x_2 + 0.71245742432525102)/(4.9540336166573313e-5*x_2**2 + 0.20910294737254783*x_2 - 0.65691020167954159),0.004548492,1.575954711,1.214210929,-0.021281883,1.236490563,1.074066195,11,-11.83666957
Feature(s): 1 4 5 8,(0.00058448875635501534*x_4**2 + 0.061982658609761588*x_4 + 2.4038573593454883)/(0.00014500652065604973*x_4**2 + 0.30113793336364591*x_4 - 0.84518871977700432),0.004082625,1.588489826,1.214495018,-0.020831021,1.219780505,1.073829086,11,-11.8374198
Feature(s): 1 2 3 6 8,(0.00052452545992004713*x_5**2 + 0.056958934452015362*x_5 + 2.3379823172164536)/(0.00013172041621423705*x_5**2 + 0.28176840232591924*x_5 - 0.85853891477779265),0.004285129,1.561528121,1.214371538,-0.021061589,1.198078712,1.073950348,11,-11.83882298
Feature(s): 1 4 5 6 7 8,(0.00080945376497646359*x_6**2 + 0.12355632900489792*x_6 + 5.3106731467103198)/(0.00020423669977268698*x_6**2 + 0.45189588425083967*x_6 + 0.094908694383863058),0.004303508,1.551322338,1.214360331,-0.021092764,1.191085606,1.073966743,11,-11.83946284
Feature(s): 2 5 6 8,(0.00048241549770628098*x_4**2 + 0.04908384212641113*x_4 + 2.0888445389629667)/(0.00012445857547511699*x_4**2 + 0.25885634778392014*x_4 - 0.97430943830819111),0.003922864,1.512992564,1.214592427,-0.020763565,1.157936644,1.073793607,11,-11.84203507
Feature(s): 1 2 4 5 6 7 8,(0.00034040198531803193*x_7**2 + 0.032876071111217374*x_7 + 1.7027630675722535)/(8.4860171982421401e-5*x_7**2 + 0.18003337282611273*x_7 - 1.1110174914328462),0.004214766,1.575949579,1.214414444,-0.02120855,1.209671029,1.074027632,11,-11.84968915
Feature(s): 4 6 8,(0.0005120699094400394*x_3**2 + 0.05626991777511415*x_3 + 2.3489920697914556)/(0.00013071330757481886*x_3**2 + 0.28207915898796483*x_3 - 0.86376492956653272),0.004167853,1.529378141,1.214443051,-0.021216549,1.171688954,1.074031838,11,-11.8524348
Feature(s): 6 7 8,(0.00053441779573438131*x_3**2 + 0.061595501740342073*x_3 + 2.5596578837556641)/(0.00013500010578518032*x_3**2 + 0.29488554787157674*x_3 - 0.81392165380115829),0.004293918,1.548193094,1.214366178,-0.021348012,1.187471607,1.074100967,11,-11.85270469
Feature(s): 2 4 5 7 8,(0.00056890068779721837*x_5**2 + 0.064210695123734119*x_5 + 2.5745607762427184)/(0.00014177183992332223*x_5**2 + 0.30556489888900256*x_5 - 0.78983414160923634),0.00422252,1.57585993,1.214409716,-0.021325088,1.209984778,1.074088913,11,-11.8551284
Feature(s): 1 2 5 8,(0.00056185670930562751*x_4**2 + 0.051974666670530424*x_4 + 2.3833439126976661)/(0.00014150329188169461*x_4**2 + 0.3053636261788419*x_4 - 0.78646978911743912),0.004298319,1.553921468,1.214363494,-0.021448666,1.191457606,1.074153893,11,-11.85751734
Feature(s): 3 5 6 8,(0.00047189236168270927*x_4**2 + 0.04894674389774383*x_4 + 2.0240702063551039)/(0.00011919403458193925*x_4**2 + 0.25974050973144763*x_4 - 0.89450388088468632),0.004293288,1.547918972,1.214366563,-0.021465652,1.186928148,1.074162824,11,-11.8586182
Feature(s): 1 3 4 7 8,(0.00066336920472653919*x_5**2 + 0.089791865540634399*x_5 + 3.7225229278610578)/(0.00016648759214741082*x_5**2 + 0.37009283407513983*x_5 - 0.41301083998736519),0.004309495,1.55995193,1.214356679,-0.02149437,1.197789,1.074177923,11,-11.85924374
Feature(s): 1 4 8,(0.00086596800947777421*x_3**2 + 0.13015769802868998*x_3 + 5.4685048968203247)/(0.00021783609734259049*x_3**2 + 0.49017170677628087*x_3 + 0.13292325844031655),0.004318951,1.555016745,1.214350913,-0.021514699,1.194192475,1.074188612,11,-11.85978737
Feature(s): 1 2 3 4 6 8,(0.00042878214360604419*x_6**2 + 0.041644578261664614*x_6 + 1.897761344178419)/(0.00010877203909855535*x_6**2 + 0.23600673359645579*x_6 - 1.0784442766815831),0.004256542,1.53979194,1.21438897,-0.021464199,1.180074364,1.07416206,11,-11.86038285
Feature(s): 1 2 6 8,(0.00048770391043814987*x_4**2 + 0.050031979634904247*x_4 + 2.0959790346348198)/(0.0001224811574646656*x_4**2 + 0.2666720213732866*x_4 - 0.94557891737967916),0.004301367,1.559010836,1.214361636,-0.021514462,1.196016403,1.074188487,11,-11.86065472
Feature(s): 1 2 3 4 5 6 7 8,(0.00046623074371894761*x_8**2 + 0.039959492632250357*x_8 + 1.7153926753859709)/(0.00011796270629529092*x_8**2 + 0.25459337818296564*x_8 - 1.1156108427010595),0.004278285,1.544649179,1.214375712,-0.021520842,1.183684775,1.074191842,11,-11.86212785
Feature(s): 4 5 7 8,(0.0013027685351592639*x_4**2 + 0.10002784607474488*x_4 + 2.4596130453236177)/(0.00032528777768386617*x_4**2 + 0.69269209709184591*x_4 - 0.85206041520923489),0.004247806,1.571058977,1.214394297,-0.021564357,1.204780878,1.074214721,11,-11.86582751
Feature(s): 4 6 7 8,(0.00057066762410385717*x_4**2 + 0.065262131282378926*x_4 + 2.5961643175311245)/(0.0001438412803940361*x_4**2 + 0.31967681642862764*x_4 - 0.72745296723250071),0.00431024,1.550339477,1.214356225,-0.021746379,1.189340181,1.074310418,11,-11.87180693
Feature(s): 3 8,(0.00043751052513417562*x_2**2 + 0.04533990009058721*x_2 + 2.0304548223512316)/(0.00011024766149687388*x_2**2 + 0.24383719755631159*x_2 - 1.0035600770217324),0.004309367,1.550768221,1.214356757,-0.021792475,1.189456144,1.074334652,11,-11.87415539
Feature(s): 1 6 7 8,(0.00059776261705869182*x_4**2 + 0.072554505634881737*x_4 + 2.9374368848425601)/(0.00014940227966613029*x_4**2 + 0.3326503752612458*x_4 - 0.66770082208840778),0.004291113,1.566895271,1.214367889,-0.02180335,1.203144195,1.074340369,11,-11.87561185
Feature(s): 1 3 5 7 8,(0.00044758234894425497*x_5**2 + 0.046800825442359694*x_5 + 2.0652701179076429)/(0.00011192872030756648*x_5**2 + 0.24676085636825718*x_5 - 0.98287528771925585),0.004290684,1.565922319,1.214368151,-0.021817934,1.201888929,1.074348036,11,-11.87636252
Feature(s): 2 3 4 5 6 8,(0.00054417970100644381*x_6**2 + 0.047309869581636119*x_6 + 1.8490087253538188)/(0.00013548859695431892*x_6**2 + 0.29248499515804438*x_6 - 1.0614653348310111),0.004224735,1.57576988,1.214408365,-0.02175519,1.209213032,1.07431505,11,-11.87652274
Feature(s): 1 2 3 5 7 8,(0.00046837626545377559*x_6**2 + 0.041558851148259396*x_6 + 1.7796061545609745)/(0.0001172737419135721*x_6**2 + 0.25759007475474161*x_6 - 1.1010668564436943),0.004298959,1.562933323,1.214363104,-0.021947945,1.198959307,1.074416381,11,-11.88244928
Feature(s): 2 3 4 5 8,(0.00050336302586423889*x_5**2 + 0.0494600716063632*x_5 + 2.0229060983387415)/(0.00012866467339942065*x_5**2 + 0.28235073573088755*x_5 - 0.98631011205458296),0.004129701,1.524216286,1.214466314,-0.02177942,1.167257799,1.074327789,11,-11.88248595
Feature(s): 3 4 7 8,(0.00045169747691903516*x_4**2 + 0.040240028384565967*x_4 + 1.766464682735746)/(0.00011164610283568128*x_4**2 + 0.23796764154061231*x_4 - 1.0778952765787862),0.004056626,1.591727917,1.214510871,-0.021729174,1.222256409,1.074301373,11,-11.8836274
Feature(s): 1 3 6 7 8,(0.00044273698202908643*x_5**2 + 0.040951986847542705*x_5 + 1.8098940686801584)/(0.00011330420041098841*x_5**2 + 0.24833143483379202*x_5 - 1.0891977977582951),0.004100567,1.52174715,1.214484078,-0.021855806,1.165105599,1.074367945,11,-11.88776195
Feature(s): 1 4 7 8,(0.00087694093833241409*x_4**2 + 0.098921837350385915*x_4 + 3.3635836824970738)/(0.00022058140041826371*x_4**2 + 0.49675181437783161*x_4 - 0.42615105193044033),0.004320698,1.552661361,1.214349848,-0.022080532,1.191241367,1.074486076,11,-11.8879917
Feature(s): 1 3 5 6 8,(0.0014000620382640582*x_5**2 + 0.1333809582408132*x_5 + 3.6479677176590264)/(0.00035236076959171226*x_5**2 + 0.78560017059969074*x_5 - 0.33499359086036442),0.004314522,1.551634435,1.214353614,-0.022123668,1.189774809,1.07450875,11,-11.89045732
Feature(s): 1 2 5 7 8,(0.0004497943334415817*x_5**2 + 0.046501583989410451*x_5 + 2.0419144320913786)/(0.00011261582874818825*x_5**2 + 0.25224651052509134*x_5 - 0.98770630653240743),0.004311844,1.561681519,1.214355247,-0.022147021,1.198524799,1.074521024,11,-11.89175885
Feature(s): 1 3 4 5 8,(0.00098184306001927959*x_5**2 + 0.16407673289432682*x_5 + 7.3551858065416477)/(0.00024631761447208482*x_5**2 + 0.57745181772470783*x_5 + 0.7144476032026509),0.004341295,1.556376455,1.214337287,-0.022197741,1.196125349,1.074547683,11,-11.89282226
Feature(s): 2 3 4 7 8,(0.0004797649812743004*x_5**2 + 0.04995124900259386*x_5 + 2.112312863931712)/(0.00011963011707153476*x_5**2 + 0.26700552364921505*x_5 - 0.94898183679456347),0.004277034,1.570071983,1.214376474,-0.02215148,1.205363481,1.074523368,11,-11.89372232
Feature(s): 1 2 4 7 8,(0.00048107934096873277*x_5**2 + 0.041210053008579298*x_5 + 1.747290224065087)/(0.00011919892519636469*x_5**2 + 0.25921715960604498*x_5 - 1.1343663554178941),0.004151278,1.584356906,1.214453157,-0.02208108,1.216302757,1.074486364,11,-11.89649011
Feature(s): 1 2 8,(0.00047189873653196106*x_3**2 + 0.040544840398234161*x_3 + 1.7200666142357797)/(0.00011660171100068986*x_3**2 + 0.25124487456311898*x_3 - 1.088997828312989),0.00407152,1.590893643,1.214501789,-0.022005461,1.221556075,1.074446615,11,-11.89669704
Feature(s): 2 7 8,(0.00056943908374671728*x_3**2 + 0.051699524939040757*x_3 + 1.9712971219131354)/(0.00014064849328827724*x_3**2 + 0.30423981175229706*x_3 - 1.0164085447866688),0.00406507,1.591514113,1.214505722,-0.022036271,1.222174849,1.07446281,11,-11.89856003
Feature(s): 3 4 5 6 7 8,(0.00044373274981164842*x_6**2 + 0.042969309780927061*x_6 + 1.88918816560131)/(0.00011240074456278616*x_6**2 + 0.25354764906674591*x_6 - 1.0527450301488365),0.004272049,1.53807795,1.214379514,-0.022312057,1.179006515,1.074607767,11,-11.90200041
Feature(s): 1 2 3 7 8,(0.00054290038692857694*x_5**2 + 0.059999392883222487*x_5 + 2.3378703615565039)/(0.00013618106166723032*x_5**2 + 0.31011302783537415*x_5 - 0.75211284799232286),0.004327156,1.556552044,1.21434591,-0.022376111,1.194586506,1.074641432,11,-11.90244778
